 1175	 8343	 9719	 8386	 8469	   38	 8972	  268	
 8702	 8970	 1568	  467	 8639	 8256	  711	 8209	
 1116	  121	 8741	 8495	 1292	 8671	10148	 8855	
 8918	 1493	  826	 8489	  527	  936	 8432	   26	
  466	  120	 9791	 8339	 9184	 8762	  688	  187	
 8391	  125	  269	 8364	  590	  207	 9799	 8722	
  756	 8248	 9636	 8349	 8618	 9556	 1006	  405	
 9482	 8357	 1022	  313	 9026	 8381	 1809	  693	
 8503	  203	  142	 8194	  838	  107	 8405	 8250	
 8353	 9717	 8394	  232	 9055	 1103	 8284	 8236	
 8206	 8371	 1017	 8433	  303	 8246	 9020	    0	
  638	 8406	 8232	   35	  737	 8642	 8986	 8859	
   43	  296	 9004	 8471	 8944	  332	 8591	   39	
 9600	  929	 1692	   16	  169	 1450	 8655	 8558	
  380	  333	 8962	 8602	  983	 8447	 9948	 8479	
  100	 8658	 8850	  288	 9522	 8253	 1837	  107	
  396	  850	 9477	 8622	  605	    1	 8781	  473	
 8359	 1501	  625	 8340	 8202	 8506	  901	  111	
  286	  231	 8895	   22	 8284	 8245	  619	  411	
  436	   96	 8762	  160	 8386	 8842	  431	  729	
  636	 8386	 9645	 8416	 8617	  480	  238	   11	
  203	 1133	   78	 8271	  901	 8206	  224	 8705	
 9730	   39	 1448	  711	  529	  693	 8328	 8863	
 8382	 8688	 8278	  573	 9240	  897	 1132	 8311	
 8390	 9010	  868	  302	 8590	 8907	  313	 8206	
 9322	  387	  917	  552	 8196	  541	  361	  414	
  490	 9247	 8326	  391	  194	 8823	  366	 8334	
 8569	 9173	  656	   27	 8521	 8683	 8333	  304	
 9018	 8625	 8452	   32	 8795	  808	  537	  227	
 8589	  175	  518	  110	 8768	  641	  626	  561	
 8759	  251	 8987	 8383	  109	 8249	 8225	  620	
  528	 8407	 8520	 8201	   56	 8805	  187	  481	
 8530	 8764	 8693	 8396	 8468	 8257	 8310	 8334	
 8496	 8458	  524	  535	 8466	  163	  805	 8541	
 8314	  232	  280	 8569	   18	   29	 8594	  102	
  419	  585	 9134	 8530	  382	 9806	  489	  524	
  648	  110	 8487	 8578	 8746	 9691	 1152	  531	
 8346	  423	   81	 8269	 8492	   43	 8786	   60	
 8245	 8453	 9200	  236	 8433	  153	 1009	  238	
  166	 8543	 8828	 8400	 8613	 8312	 8896	  575	
 8373	 8890	 8830	  222	 9118	  717	  948	  165	
  164	  341	 8881	  447	  628	 8847	  192	  207	
 9238	 8440	  780	  243	 9165	  183	 1966	  607	
  940	  628	 8573	 8319	  642	 9710	 8781	 8430	
  537	  452	 8397	 8394	  806	  304	 9498	 8712	
  161	  274	 8906	 8266	  213	 8648	  718	  113	
 8860	 1024	 8746	   43	  602	  709	 8329	 8677	
  104	 9090	 8921	 8706	 9146	 8552	  574	 8202	
 9110	 1238	 1082	  158	 1563	  733	 9182	 8449	
 8492	 9334	  118	  600	 9447	  849	 1348	  257	
  326	 8529	  654	 8232	 8325	 9049	 8720	 8204	
  294	  441	    6	 8235	   76	 9102	  364	 8233	
  701	 8869	  282	 8460	 8632	 9129	  884	  318	
 8249	  836	  282	  302	  483	 9007	 8602	  449	
 9444	  305	  973	 8378	  774	 1170	 9444	 8792	
 1382	 8282	 9982	 8331	 9044	 8440	 8418	    7	
 8220	 8227	  534	 8776	 8848	 9591	 1449	  428	
  377	 8434	  325	 8451	  540	  466	 9054	 8773	
 9373	  583	 1575	  104	  801	 1101	 9011	 8455	
  611	 9775	 8594	  403	 9270	  819	  679	 8327	
  193	 1480	 8476	 8539	 1402	 8360	10095	  128	
   16	  599	  668	 8398	  448	 8440	  682	 8616	
  172	 9382	  218	 8266	 8628	  343	  354	 8236	
 9330	  146	 1677	  198	 1329	  244	 9218	 8261	
   57	 8231	 8868	 8340	 8671	 8718	 8329	 8226	
 9115	  173	 8848	  160	  203	 1086	 8661	  200	
 8318	 8447	 8449	 8277	  250	 9192	 8304	  396	
 8579	 8382	  290	  109	   58	 1138	 8560	 8200	
 9549	 8685	 1350	  176	 8641	 1046	  690	  189	
  734	 8560	 9897	 8395	 8258	 8605	 8760	 8223	
 9299	 8755	 1384	  951	  278	 8521	  547	  302	
